----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model medium -----
----- Epoch 1 -----
[16:19:59][Step 96] Loss: 2.24 | Was correct: False
[16:20:00][Step 97] Loss: 2.17 | Was correct: False
[16:20:01][Step 98] Loss: 2.00 | Was correct: True
[16:20:02][Step 99] Loss: 2.19 | Was correct: False
[16:20:04][Step 100] Loss: 2.44 | Was correct: False
[16:20:05][Step 101] Loss: 2.16 | Was correct: False
[16:20:06][Step 102] Loss: 2.49 | Was correct: False
[16:20:07][Step 103] Loss: 2.48 | Was correct: False
[16:20:08][Step 104] Loss: 2.38 | Was correct: False
[16:20:09][Step 105] Loss: 2.40 | Was correct: False
[16:20:10][Step 106] Loss: 2.48 | Was correct: False
[16:20:11][Step 107] Loss: 2.38 | Was correct: False
[16:20:13][Step 108] Loss: 2.37 | Was correct: False
[16:20:14][Step 109] Loss: 2.31 | Was correct: False
[16:20:15][Step 110] Loss: 2.18 | Was correct: False
[16:20:16][Step 111] Loss: 2.25 | Was correct: False
[16:20:17][Step 112] Loss: 2.30 | Was correct: False
[16:20:18][Step 113] Loss: 2.52 | Was correct: False
[16:20:19][Step 114] Loss: 2.46 | Was correct: False
[16:20:20][Step 115] Loss: 2.52 | Was correct: False
[16:20:21][Step 116] Loss: 2.14 | Was correct: False
[16:20:23][Step 117] Loss: 2.39 | Was correct: False
[16:20:24][Step 118] Loss: 2.32 | Was correct: False
[16:20:25][Step 119] Loss: 2.15 | Was correct: True
[16:20:26][Step 120] Loss: 2.01 | Was correct: True
[16:20:27][Step 121] Loss: 2.65 | Was correct: False
[16:20:28][Step 122] Loss: 2.14 | Was correct: False
[16:20:29][Step 123] Loss: 1.94 | Was correct: True
[16:20:30][Step 124] Loss: 2.22 | Was correct: False
[16:20:31][Step 125] Loss: 2.34 | Was correct: False
[16:20:33][Step 126] Loss: 2.30 | Was correct: False
[16:20:34][Step 127] Loss: 1.96 | Was correct: True
[16:20:35][Step 128] Loss: 1.87 | Was correct: True
[16:20:36][Step 129] Loss: 2.29 | Was correct: False
[16:20:37][Step 130] Loss: 2.28 | Was correct: False
[16:20:38][Step 131] Loss: 1.94 | Was correct: True
[16:20:39][Step 132] Loss: 2.32 | Was correct: False
[16:20:40][Step 133] Loss: 2.46 | Was correct: False
[16:20:41][Step 134] Loss: 2.36 | Was correct: False
[16:20:43][Step 135] Loss: 2.20 | Was correct: False
[16:20:44][Step 136] Loss: 2.31 | Was correct: False
[16:20:45][Step 137] Loss: 2.53 | Was correct: False
[16:20:46][Step 138] Loss: 2.24 | Was correct: False
[16:20:47][Step 139] Loss: 2.25 | Was correct: False
[16:20:48][Step 140] Loss: 2.21 | Was correct: False
[16:20:49][Step 141] Loss: 2.40 | Was correct: False
[16:20:50][Step 142] Loss: 2.17 | Was correct: False
[16:20:51][Step 143] Loss: 2.58 | Was correct: False
[16:20:53][Step 144] Loss: 2.43 | Was correct: False
[16:20:54][Step 145] Loss: 2.35 | Was correct: False
[16:20:55][Step 146] Loss: 2.23 | Was correct: False
[16:20:56][Step 147] Loss: 2.17 | Was correct: False
[16:20:57][Step 148] Loss: 1.92 | Was correct: True
[16:20:58][Step 149] Loss: 1.75 | Was correct: True
[16:20:59][Step 150] Loss: 1.92 | Was correct: True
[16:21:00][Step 151] Loss: 2.51 | Was correct: False
[16:21:01][Step 152] Loss: 2.46 | Was correct: False
[16:21:02][Step 153] Loss: 2.24 | Was correct: False
[16:21:04][Step 154] Loss: 2.68 | Was correct: False
[16:21:05][Step 155] Loss: 2.24 | Was correct: False
[16:21:06][Step 156] Loss: 2.24 | Was correct: False
[16:21:07][Step 157] Loss: 2.39 | Was correct: False
[16:21:08][Step 158] Loss: 2.37 | Was correct: False
[16:21:09][Step 159] Loss: 2.42 | Was correct: False
[16:21:10][Step 160] Loss: 2.19 | Was correct: False
[16:21:11][Step 161] Loss: 2.44 | Was correct: False
[16:21:12][Step 162] Loss: 2.46 | Was correct: False
[16:21:13][Step 163] Loss: 2.20 | Was correct: False
[16:21:14][Step 164] Loss: 2.32 | Was correct: False
[16:21:16][Step 165] Loss: 2.55 | Was correct: False
[16:21:17][Step 166] Loss: 2.17 | Was correct: False
[16:21:18][Step 167] Loss: 1.82 | Was correct: True
[16:21:19][Step 168] Loss: 2.25 | Was correct: False
