----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model very_small -----
----- Epoch 1 -----
[16:18:37][Step 96] Loss: 3.11 | Was correct: False
[16:18:37][Step 97] Loss: 2.13 | Was correct: False
[16:18:38][Step 98] Loss: 2.55 | Was correct: False
[16:18:38][Step 99] Loss: 1.92 | Was correct: False
[16:18:38][Step 100] Loss: 2.34 | Was correct: False
[16:18:38][Step 101] Loss: 1.60 | Was correct: True
[16:18:39][Step 102] Loss: 3.73 | Was correct: False
[16:18:39][Step 103] Loss: 2.29 | Was correct: False
[16:18:39][Step 104] Loss: 2.12 | Was correct: False
[16:18:39][Step 105] Loss: 1.84 | Was correct: True
[16:18:40][Step 106] Loss: 1.97 | Was correct: False
[16:18:40][Step 107] Loss: 1.95 | Was correct: False
[16:18:40][Step 108] Loss: 2.66 | Was correct: False
[16:18:40][Step 109] Loss: 2.80 | Was correct: False
[16:18:41][Step 110] Loss: 1.87 | Was correct: True
[16:18:41][Step 111] Loss: 2.20 | Was correct: False
[16:18:41][Step 112] Loss: 2.77 | Was correct: False
[16:18:41][Step 113] Loss: 2.29 | Was correct: False
[16:18:42][Step 114] Loss: 1.88 | Was correct: False
[16:18:42][Step 115] Loss: 3.17 | Was correct: False
[16:18:42][Step 116] Loss: 2.57 | Was correct: False
[16:18:42][Step 117] Loss: 2.24 | Was correct: False
[16:18:42][Step 118] Loss: 1.85 | Was correct: True
[16:18:43][Step 119] Loss: 1.77 | Was correct: False
[16:18:43][Step 120] Loss: 2.66 | Was correct: False
[16:18:43][Step 121] Loss: 2.67 | Was correct: False
[16:18:43][Step 122] Loss: 2.20 | Was correct: False
[16:18:44][Step 123] Loss: 2.41 | Was correct: False
[16:18:44][Step 124] Loss: 2.62 | Was correct: False
[16:18:44][Step 125] Loss: 1.57 | Was correct: True
[16:18:44][Step 126] Loss: 2.69 | Was correct: False
[16:18:45][Step 127] Loss: 2.50 | Was correct: False
[16:18:45][Step 128] Loss: 2.27 | Was correct: False
[16:18:45][Step 129] Loss: 1.62 | Was correct: True
[16:18:46][Step 130] Loss: 2.70 | Was correct: False
[16:18:46][Step 131] Loss: 2.10 | Was correct: True
[16:18:46][Step 132] Loss: 2.17 | Was correct: False
