----- Preparing dataset -----
Data directory: /home/janek/studia/ITO/projekt/CUB_200_2011/CUB_200_2011/images
----- Loading class 001.Black_footed_Albatross -----
Total images # = 60
----- Loading class 002.Laysan_Albatross -----
Total images # = 60
----- Loading class 003.Sooty_Albatross -----
Total images # = 58
----- Loading class 004.Groove_billed_Ani -----
Total images # = 60
----- Loading class 005.Crested_Auklet -----
Total images # = 44
----- Loading class 006.Least_Auklet -----
Total images # = 41
----- Loading class 007.Parakeet_Auklet -----
Total images # = 53
----- Loading class 008.Rhinoceros_Auklet -----
Total images # = 48
----- Loading class 009.Brewer_Blackbird -----
Total images # = 59
----- Loading class 010.Red_winged_Blackbird -----
Total images # = 60
----- Dataset initialized -----
Dataset size = 543
Train = 488 (90%)
Test = 55 (10%)
----- Training started for model big -----
----- Epoch 1 -----
[16:20:20][Step 83] Loss: 2.02 | Was correct: True
[16:20:21][Step 84] Loss: 2.46 | Was correct: False
[16:20:23][Step 85] Loss: 2.44 | Was correct: False
[16:20:24][Step 86] Loss: 2.44 | Was correct: False
[16:20:26][Step 87] Loss: 2.31 | Was correct: False
[16:20:27][Step 88] Loss: 2.08 | Was correct: True
[16:20:29][Step 89] Loss: 2.26 | Was correct: False
[16:20:31][Step 90] Loss: 2.33 | Was correct: False
[16:20:32][Step 91] Loss: 2.36 | Was correct: False
[16:20:34][Step 92] Loss: 2.50 | Was correct: False
[16:20:35][Step 93] Loss: 2.30 | Was correct: False
[16:20:37][Step 94] Loss: 1.90 | Was correct: True
[16:20:38][Step 95] Loss: 2.29 | Was correct: False
[16:20:40][Step 96] Loss: 2.40 | Was correct: False
[16:20:41][Step 97] Loss: 2.31 | Was correct: False
[16:20:43][Step 98] Loss: 2.38 | Was correct: False
[16:20:44][Step 99] Loss: 2.46 | Was correct: False
[16:20:46][Step 100] Loss: 2.33 | Was correct: False
[16:20:48][Step 101] Loss: 2.36 | Was correct: False
[16:20:49][Step 102] Loss: 2.40 | Was correct: False
[16:20:51][Step 103] Loss: 2.28 | Was correct: False
[16:20:52][Step 104] Loss: 2.38 | Was correct: False
[16:20:54][Step 105] Loss: 2.24 | Was correct: False
[16:20:55][Step 106] Loss: 2.29 | Was correct: False
[16:20:57][Step 107] Loss: 2.23 | Was correct: False
[16:20:58][Step 108] Loss: 2.37 | Was correct: False
[16:21:00][Step 109] Loss: 2.27 | Was correct: False
[16:21:02][Step 110] Loss: 2.12 | Was correct: True
[16:21:03][Step 111] Loss: 2.39 | Was correct: False
[16:21:05][Step 112] Loss: 2.39 | Was correct: False
[16:21:06][Step 113] Loss: 2.24 | Was correct: False
[16:21:08][Step 114] Loss: 2.26 | Was correct: False
[16:21:09][Step 115] Loss: 2.32 | Was correct: False
[16:21:11][Step 116] Loss: 2.27 | Was correct: False
[16:21:12][Step 117] Loss: 2.38 | Was correct: False
[16:21:14][Step 118] Loss: 2.53 | Was correct: False
[16:21:15][Step 119] Loss: 2.47 | Was correct: False
[16:21:17][Step 120] Loss: 2.01 | Was correct: True
[16:21:18][Step 121] Loss: 2.37 | Was correct: False
[16:21:20][Step 122] Loss: 2.45 | Was correct: False
[16:21:21][Step 123] Loss: 2.49 | Was correct: False
[16:21:23][Step 124] Loss: 2.29 | Was correct: False
[16:21:25][Step 125] Loss: 2.07 | Was correct: True
[16:21:26][Step 126] Loss: 2.34 | Was correct: False
[16:21:28][Step 127] Loss: 2.40 | Was correct: False
[16:21:29][Step 128] Loss: 2.37 | Was correct: False
[16:21:31][Step 129] Loss: 2.24 | Was correct: False
[16:21:32][Step 130] Loss: 2.44 | Was correct: False
[16:21:34][Step 131] Loss: 2.44 | Was correct: False
[16:21:35][Step 132] Loss: 2.38 | Was correct: False
[16:21:37][Step 133] Loss: 2.33 | Was correct: False
[16:21:38][Step 134] Loss: 2.34 | Was correct: False
[16:21:40][Step 135] Loss: 2.37 | Was correct: False
[16:21:41][Step 136] Loss: 2.29 | Was correct: False
[16:21:43][Step 137] Loss: 2.25 | Was correct: False
[16:21:44][Step 138] Loss: 2.23 | Was correct: False
[16:21:46][Step 139] Loss: 2.24 | Was correct: False
[16:21:48][Step 140] Loss: 2.10 | Was correct: True
[16:21:49][Step 141] Loss: 2.02 | Was correct: True
[16:21:51][Step 142] Loss: 2.46 | Was correct: False
[16:21:52][Step 143] Loss: 2.42 | Was correct: False
[16:21:54][Step 144] Loss: 2.02 | Was correct: True
[16:21:55][Step 145] Loss: 2.23 | Was correct: False
[16:21:57][Step 146] Loss: 2.34 | Was correct: False
[16:21:58][Step 147] Loss: 2.36 | Was correct: False
[16:22:00][Step 148] Loss: 2.38 | Was correct: False
[16:22:01][Step 149] Loss: 2.33 | Was correct: False
[16:22:03][Step 150] Loss: 2.44 | Was correct: False
[16:22:04][Step 151] Loss: 2.39 | Was correct: False
[16:22:06][Step 152] Loss: 2.36 | Was correct: False
[16:22:08][Step 153] Loss: 2.36 | Was correct: False
[16:22:09][Step 154] Loss: 2.34 | Was correct: False
[16:22:11][Step 155] Loss: 2.51 | Was correct: False
[16:22:12][Step 156] Loss: 2.28 | Was correct: False
[16:22:14][Step 157] Loss: 2.44 | Was correct: False
